,class,proba,x1,y1,x2,y2,bf_mean,bf_std,bf_min,bf_max,bf_skew,rfp_mean,rfp_std,rfp_min,rfp_max,rfp_skew,gfp_mean,gfp_std,gfp_min,gfp_max,gfp_skew
12,0,0.6747497,501.51215,872.40466,529.73517,899.8502,23.217391304347824,2202.915899714377,1,135,1.9246459533991243,23.608695652173914,2336.342113614726,1,146,1.9374105487584645,24.804347826086957,2647.4723897175504,1,166,1.976369145510723
13,0,0.6736187,0.076643944,488.28455,14.167991,515.5294,54.964285714285715,4627.769793459553,0,176,0.6905680582367566,56.535714285714285,4979.022805507745,0,189,0.7275600190917055,57.714285714285715,5331.965576592082,0,199,0.7647047570578815
14,0,0.65474886,851.4938,36.87066,897.57385,75.304955,1.0714285714285714,0.4963752665245202,0,2,-0.10048786788951256,1.0714285714285714,0.4605543710021321,0,2,-0.08784104611578801,1.0178571428571428,0.4474413646055437,0,2,-0.020295415412355838
15,0,0.64701146,644.1614,817.0184,666.7412,843.2592,33.6,1988.9393258426965,1,117,0.8186644331711947,22.366666666666667,823.4483146067415,2,82,0.91003131669428,13.033333333333333,227.6955056179776,2,45,0.895460899372333
16,0,0.6462732,785.46533,779.741,830.47705,815.389,2.5277777777777777,0.3428792569659443,2,4,0.5870825930042678,2.5185185185185186,0.4919160646714826,2,5,1.6327409996203062,2.5277777777777777,0.3428792569659443,2,4,0.5870825930042678
17,0,0.62622684,781.2776,1013.6305,805.59424,1023.76184,1.5,2.657142857142857,0,4,0.36126059042221265,1.1666666666666667,1.5142857142857142,0,3,0.23843720534489385,1.3333333333333333,1.9428571428571422,0,3,0.15693481619998043
18,0,0.6256079,244.60265,1011.433,274.13953,1023.74695,5.583333333333333,31.852112676056336,0,12,0.022256085807964527,5.958333333333333,36.63204225352112,0,13,0.04939338422852581,6.291666666666667,41.87147887323944,0,15,0.11170820935588847
19,0,0.6230065,110.33382,872.6671,151.6732,905.9298,1.337837837837838,0.22471566589213648,1,2,0.6857142857142849,1.3108108108108107,0.21517671517671513,1,2,0.8175400274632973,1.2297297297297298,0.1777546777546777,1,2,1.28498513240647
20,0,0.6001325,800.0454,818.10333,841.1343,857.1086,1.9836065573770492,0.04904558724455423,1,3,-1.2927062258694149,1.959016393442623,0.03941163260723109,1,2,-4.630630091330449,2.0,0.03287671232876713,1,3,0.0
21,0,0.5996138,279.86475,894.94006,304.69995,921.563,5.964285714285714,26.83704020530368,1,14,0.2242136335932293,6.017857142857143,28.616445680068438,0,15,0.3015083669444593,6.053571428571429,32.997112917023095,0,16,0.26538065145649936
22,0,0.5820995,972.4315,248.74297,1022.7555,285.12823,5.491071428571429,31.020815565031977,0,14,0.07394642093668206,5.848214285714286,35.44853411513859,0,15,0.0960313103768304,6.133928571428571,39.250666311300634,0,17,0.11553092202454297
23,0,0.5801967,106.3609,893.61945,127.63223,917.4108,1.0,0.0,1,1,,0.9,0.15842696629213485,0,2,-0.8385682958704918,1.0,0.0,1,1,
24,0,0.55080557,779.7523,770.48865,830.7113,814.9569,3.0072463768115942,1.9684703653016113,1,9,2.562503259935326,3.0434782608695654,2.1336982840298977,2,9,2.374684301498485,3.0217391304347827,1.9535214233077163,2,9,2.582252384954091
25,0,0.5326383,953.0031,248.65044,999.21075,277.73822,5.318181818181818,28.7561144439317,0,13,0.0639959926149316,5.757575757575758,34.26580526072912,0,15,0.11153648241474008,5.96969696969697,37.24780802953391,0,17,0.1514002851056319
26,0,0.51686937,952.62,248.74669,1024.0,277.68127,5.333333333333333,29.069637883008355,0,12,0.053545652995338554,5.741666666666666,33.969289693593325,0,13,0.07690210754662558,5.991666666666666,37.17820334261838,0,15,0.09000610950074493
27,0,0.5068465,0.04518795,740.9334,9.16988,766.01117,55.6875,3854.175,0,161,0.39748578892920433,56.46875,4003.262171052632,0,166,0.4409339963632986,56.90625,4121.8963815789475,0,170,0.51440347667536
